STT,SO XE,XE,NGAY,L,l,Q,To,Tr,N,C,Vm,d,dd,dH,Dh,M,E1,E2,E3,E4,E5,E6,LV,LV1,dc,MG
155,CE7_12,CE7U2_68,26/05/2020,07T,CE7,98.64,300,101,18,1140418.672,29.74070352,Tuyen Hang Bai,HB,1.852,1852,6.81,1.490153173,167462.36,0.41,0.336666667,0.069038929,0.018775345,C,3,4.57,240000<E2<260000
156,CE7_12,CE7U2_68,26/05/2020,07T,CE7,88.07,230,76,19,1301182.537,3D12987012987,Tuyen Ly Thai To,LTT,1.023,1023,7.77,1.079166667,167462.36,0.14,0.330434783,0.088225275,0.01161576,D,5,7.2,E2<240000
157,CE9_13,CE9.6U2_00,26/05/2020,13T,CE9,102.62,457,249,36,3717449.659,29.60192308,Tuyen Hang Bai,HB,0.16,160,14.06,3.076586433,264398.98,0.04,0.544857768,0.137010329,0.00155915,T,4,4.57,E2>260000
158,CE9_14,CE9.7U2_02,26/05/2020,13T,CE9,94.89,297,116,23,3291767.301,31.45524862,Tuyen Tran Hung Dao,THD,1.156,1156,12.45,2.964285714,264398.98,0.28,0.390572391,0.131204553,0.012182527,T,4,4.2,E2>260000
159,CE10_1,CE10U2_59,27/05/2020,11T,CE10,90.75,299,145,12,2467723.846,35.35714286,Tuyen Le Van Linh,LVL,0.4,400,10.72,1.374358974,230198.12,0.05,0.484949833,0.118126722,0.004407713,D,5,7.8,240000<E2<260000
160,CE10_1,CE10U2_59,27/05/2020,11T,CE10,89.55,274,100,14,3060007.159,30.87931034,Tuyen Le Van Linh,LVL,0,0,12.49,1.601282051,244996.57,0,0.364963504,0.139475154,0,T,4,7.8,E2<240000
161,CE6_3,CE6.2U2_88,27/05/2020,06T,CE6,98.64,271,61,20,1246379.27,28.18285714,Tuyen Cua Nam,CN,0.422,422,6.48,1.691906005,192342.48,0.11,0.225092251,0.065693431,0.004278183,C,3,3.83,E2>260000
162,CE6_4,CE6.2U2_40,27/05/2020,06T,CE6,92.11,294,120,7,1288586.922,31.76206897,Tuyen Bach Dang,BD,0.11,110,7.23,1.975409836,178227.79,0.03,0.408163265,0.078493106,0.001194224,T,4,3.66,240000<E2<260000
163,CE6_4,CE6.2U2_40,27/05/2020,06T,CE6,88.22,295,75,,1269364.689,24.06,Tuyen Bach Dang,BD,0,0,7.58,2.071038251,167462.36,0,0.254237288,0.08592156,0,D,5,3.66,E2<240000
164,CE6_5,CE6.2U2_44,27/05/2020,06T,CE6,81.27,230,82,13,1381265.373,32.9472973,Tuyen Hang Dao,HD,0.01,10,7.75,0.981012658,178227.79,0,0.356521739,0.095361142,0.000123047,D,5,7.9,E2<240000
